=== FINAL SESSION METRICS ===
Timestamp: 2026-03-24 01:43:35
Session Duration: 04:26:13
Total Orders: 2100
Total Trades: 201
Total Fees: 4.4623 USDT
Final Balance: 83.40 USDT
Overall Win Rate: 53.2%
Average TPM: 0.76

=== ACTIVE ASSET LIST ===
BTCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ETHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAUUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.06
XAGUSDT: Trades: 8 | Win%: 62.5% | PnL: -1.07
SOLUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.05
XRPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.22
SIRENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PAXGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TAOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEPEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TSLAUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.01
HYPEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RIVERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DOGEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CRCLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ADAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JCTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZECUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LINKUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.17
BNBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NVDAUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.02
BRUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.86
MSTRUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.19
APTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVAXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LYNUSDT: Trades: 6 | Win%: 83.3% | PnL: 2.33
DOTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRUMPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANANAS31USDT: Trades: 3 | Win%: 100.0% | PnL: 1.00
UAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LIGHTUSDT: Trades: 4 | Win%: 50.0% | PnL: 1.09
SHIBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JTOUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.11
PIPPINUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.99
AMZNUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.25
FILUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.27
NEARUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.36
FARTCOINUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.36
AAVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FETUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.71
ARIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UNIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XLMUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.28
AAPLUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.01
PENGUUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.22
ASTERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRIAUSDT: Trades: 2 | Win%: 50.0% | PnL: -0.66
EWYUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.96
WLDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LTCUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.23
WIFUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PUMPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VIRTUALUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.74
HBARUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WAXPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GALAUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.75
HOODUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZROUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.40
WLFIUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.25
ONDOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PIXELUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.53
RENDERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BARDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GOOGLUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.18
QQQUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.23
XPLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BGBUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.50
