=== FINAL SESSION METRICS ===
Timestamp: 2026-03-28 01:51:15
Session Duration: 02:09:17
Total Orders: 375
Total Trades: 147
Total Fees: 64.6679 USDT
Final Balance: 9535.11 USDT
Overall Win Rate: 14.3%
Average TPM: 1.14

=== ACTIVE ASSET LIST ===
ETHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SOLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XRPUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.16
XAGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TAOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SIRENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XAUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RIVERUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.30
TSLAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DOGEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CRCLUSDT: Trades: 2 | Win%: 0.0% | PnL: -7.18
CUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEPEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HYPEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.24
PAXGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COINUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.94
PIPPINUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.83
BNBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NVDAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
B3USDT: Trades: 2 | Win%: 50.0% | PnL: -9.06
ADAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MSTRUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.44
ZECUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LINKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ENAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.36
WLDUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.31
KNCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PIXELUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ONDOUSDT: Trades: 2 | Win%: 50.0% | PnL: -2.21
BSBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRUMPUSDT: Trades: 1 | Win%: 0.0% | PnL: -38.59
AAPLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
QUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FILUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVAXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AAVEUSDT: Trades: 2 | Win%: 0.0% | PnL: -7.31
WIFUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LYNUSDT: Trades: 2 | Win%: 50.0% | PnL: -9.49
FETUSDT: Trades: 1 | Win%: 0.0% | PnL: -5.39
NEARUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DOTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FARTCOINUSDT: Trades: 2 | Win%: 0.0% | PnL: -7.22
APTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUUSDT: Trades: 2 | Win%: 0.0% | PnL: -15.49
KITEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KATUSDT: Trades: 1 | Win%: 0.0% | PnL: -14.40
RENDERUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.44
BRUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LTCUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ARIAUSDT: Trades: 1 | Win%: 100.0% | PnL: 1.94
PENGUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.42
BEATUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PUMPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
XLMUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.16
SHIBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
