=== FINAL SESSION METRICS ===
Timestamp: 2026-03-28 14:29:40
Session Duration: 09:59:53
Total Orders: 1560
Total Trades: 1329
Total Fees: 17.4679 USDT
Final Balance: 31.06 USDT
Overall Win Rate: 36.5%
Average TPM: 2.22

=== ACTIVE ASSET LIST ===
ETHUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.07
SOLUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.28
XAUUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.04
XRPUSDT: Trades: 7 | Win%: 42.9% | PnL: -0.18
XAGUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.12
SIRENUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.85
TAOUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.67
XAUTUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.22
RIVERUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.16
TSLAUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.06
DOGEUSDT: Trades: 4 | Win%: 100.0% | PnL: 0.16
CRCLUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.16
HYPEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.31
PEPEUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.29
CUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.07
SUIUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.20
PAXGUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.07
PIPPINUSDT: Trades: 4 | Win%: 0.0% | PnL: -1.36
COINUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.08
B3USDT: Trades: 7 | Win%: 42.9% | PnL: -0.60
ZECUSDT: Trades: 6 | Win%: 16.7% | PnL: -0.67
BNBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NVDAUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.12
ADAUSDT: Trades: 6 | Win%: 33.3% | PnL: -0.43
STGUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.26
WLDUSDT: Trades: 8 | Win%: 50.0% | PnL: -0.17
MSTRUSDT: Trades: 7 | Win%: 14.3% | PnL: -0.13
