=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
10M  10     10     10     40     10     10     -1     0      0      0      1        0      0.0% -0.04     
10M  10     10     10     90     30     20     0      0      0      0      1        1      100.0% 0.13      
10M  10     10     40     30     10     10     0      0      0      0      1        0      0.0% -0.04     
10M  10     10     60     10     10     10     0      0      0      0      1        0      0.0% -0.03     
10M  10     10     60     30     10     10     -1     0      -1     -1     1        0      0.0% -0.02     
10M  10     10     60     50     10     30     -1     0      0      0      1        1      100.0% 0.37      
10M  10     10     60     100    10     10     0      0      0      0      1        0      0.0% -0.04     
10M  10     10     100    40     20     20     0      0      0      0      1        1      100.0% 0.15      
10M  20     10     10     100    70     30     0      0      0      0      1        1      100.0% 0.08      
10M  20     10     20     60     30     20     0      0      0      0      1        1      100.0% 0.14      
10M  20     10     30     20     20     40     -1     0      0      0      1        1      100.0% 0.13      
10M  20     10     30     60     40     10     1      0      0      0      1        1      100.0% 0.07      
10M  20     10     30     70     20     10     -1     0      0      0      1        0      0.0% -0.14     
10M  20     10     30     70     60     40     1      0      0      0      1        0      0.0% -0.03     
10M  20     10     40     20     10     30     0      0      0      0      1        0      0.0% -0.04     
10M  20     10     40     20     30     20     0      0      0      0      2        2      100.0% 0.31      
10M  20     10     40     30     20     10     0      0      0      0      1        1      100.0% 0.06      
10M  20     10     40     40     30     20     0      0      0      0      1        1      100.0% 0.20      
10M  20     10     40     50     20     10     -1     -1     1      1      1        0      0.0% -0.16     
10M  20     10     40     50     20     10     0      -1     1      1      1        0      0.0% -0.15     
10M  20     10     40     50     30     20     -1     0      0      0      1        0      0.0% -0.07     
10M  20     10     40     60     20     10     -1     0      0      0      1        0      0.0% -0.13     
10M  20     10     50     10     10     10     0      0      0      0      1        0      0.0% -0.10     
10M  20     10     50     10     10     30     -1     0      1      1      1        0      0.0% -0.21     
10M  20     10     50     20     10     30     -1     1      0      0      1        0      0.0% -0.14     
10M  20     10     50     20     10     40     0      0      1      1      1        0      0.0% -0.10     
10M  20     10     50     30     10     20     -1     -1     -1     -1     1        0      0.0% -0.42     
10M  20     10     50     40     30     20     -1     0      0      0      1        1      100.0% 0.06      
10M  20     10     60     10     10     20     0      0      0      0      1        0      0.0% -0.04     
10M  20     10     60     10     10     30     0      0      0      0      1        1      100.0% 0.05      
10M  20     10     60     30     10     10     -1     0      0      0      1        0      0.0% -0.08     
10M  20     10     60     30     10     20     0      0      0      0      1        0      0.0% -0.10     
10M  20     10     60     40     10     10     0      0      0      0      1        0      0.0% -0.26     
10M  20     10     70     20     10     20     -1     0      1      1      1        0      0.0% -0.13     
10M  20     10     70     30     20     20     0      1      0      0      1        1      100.0% 0.13      
10M  20     10     70     30     20     40     0      0      0      0      1        0      0.0% -0.07     
10M  20     10     70     40     10     20     0      0      1      1      1        0      0.0% -0.19     
10M  20     10     70     40     20     30     0      0      0      0      1        0      0.0% -0.10     
10M  20     10     70     50     20     10     0      0      0      0      1        0      0.0% -0.08     
10M  20     10     80     10     30     30     0      0      0      0      1        0      0.0% -0.03     
10M  20     10     80     40     10     20     1      1      1      1      1        1      100.0% 0.58      
10M  20     10     80     40     40     30     1      0      0      0      1        0      0.0% -0.10     
10M  20     10     80     50     30     20     0      0      0      0      1        1      100.0% 0.12      
10M  20     10     80     50     30     30     0      0      0      0      1        0      0.0% -0.05     
10M  20     10     80     70     30     30     1      0      -1     -1     1        1      100.0% 0.18      
10M  20     10     100    70     40     20     0      0      0      0      1        0      0.0% -0.05     
10M  20     10     100    100    50     30     0      0      0      0      1        0      0.0% -0.14     
10M  20     20     20     70     30     50     1      0      0      0      1        1      100.0% 0.16      
10M  20     40     50     20     20     20     0      0      0      0      1        0      0.0% -0.52     
10M  20     40     80     60     20     10     0      0      0      0      1        0      0.0% -0.15     
10M  30     10     10     90     30     60     -1     0      0      0      1        0      0.0% -0.13     
10M  30     10     10     90     40     60     1      0      0      0      1        1      100.0% 0.08      
10M  30     10     10     100    50     70     1      0      0      0      1        1      100.0% 0.12      
10M  30     10     10     100    70     40     0      0      0      0      1        0      0.0% -0.14     
10M  30     10     20     60     50     30     1      0      0      0      1        1      100.0% 0.10      
10M  30     10     20     100    50     50     0      0      0      0      1        1      100.0% 0.08      
10M  30     10     30     10     20     30     -1     -1     0      0      1        1      100.0% 0.17      
10M  30     10     30     10     20     30     0      0      0      0      1        1      100.0% 0.14      
10M  30     10     30     50     30     20     1      0      1      1      1        0      0.0% -0.26     
10M  30     10     30     50     70     10     0      0      0      0      1        0      0.0% -0.40     
10M  30     10     30     60     20     50     0      0      1      1      1        1      100.0% 0.10      
10M  30     10     30     60     60     30     0      0      0      0      1        1      100.0% 0.09      
10M  30     10     30     70     20     20     0      -1     -1     -1     1        0      0.0% -0.06     
10M  30     10     40     10     30     80     -1     0      0      0      1        1      100.0% 0.06      
10M  30     10     40     10     40     30     -1     0      0      0      1        1      100.0% 0.16      
10M  30     10     40     20     10     30     1      1      0      0      1        0      0.0% -0.06     
10M  30     10     40     20     20     40     0      0      0      0      1        0      0.0% -0.18     
10M  30     10     40     20     40     80     0      0      0      0      1        0      0.0% -0.20     
10M  30     10     40     30     10     30     0      0      1      1      1        0      0.0% -0.05     
10M  30     10     40     40     10     70     0      0      0      0      1        1      100.0% 0.06      
10M  30     10     40     40     40     20     -1     0      0      0      1        1      100.0% 0.04      
10M  30     10     40     40     60     20     -1     0      0      0      1        1      100.0% 0.16      
10M  30     10     40     50     10     20     1      1      1      1      1        0      0.0% -0.09     
10M  30     10     40     60     40     30     1      0      0      0      1        0      0.0% -0.07     
10M  30     10     40     70     20     10     0      0      1      1      1        1      100.0% 0.34      
10M  30     10     40     70     20     30     0      -1     1      1      1        1      100.0% 0.15      
10M  30     10     50     10     20     40     0      0      0      0      1        0      0.0% -0.04     
10M  30     10     50     10     40     50     -1     0      1      1      1        0      0.0% -0.17     
10M  30     10     50     10     40     60     0      0      0      0      1        0      0.0% -0.05     
10M  30     10     50     20     10     30     0      0      0      0      1        0      0.0% -0.14     
10M  30     10     50     20     10     70     0      0      0      0      1        0      0.0% -0.09     
10M  30     10     50     20     20     10     1      0      0      0      1        0      0.0% -0.07     
10M  30     10     50     20     30     40     0      0      0      0      1        0      0.0% -0.14     
