=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 10:40:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
10M  10     30     10     50     10     100    0      0      1      1      1        1      100.0% 0.08      
10M  10     50     90     70     20     20     0      1      0      0      1        0      0.0% -0.36     
10M  20     20     50     50     20     10     -1     0      1      1      1        1      100.0% 1.24      
10M  20     20     80     60     20     20     0      0      -1     -1     1        1      100.0% 0.10      
10M  20     20     90     100    30     30     0      1      -1     -1     1        1      100.0% 0.23      
10M  20     30     60     20     20     20     0      0      -1     -1     1        0      0.0% -0.16     
10M  20     30     80     60     20     20     0      0      1      1      1        0      0.0% -0.36     
10M  20     50     40     60     20     20     1      0      1      1      1        0      0.0% -0.34     
10M  30     20     20     70     20     30     -1     1      0      0      1        1      100.0% 0.65      
10M  30     20     30     70     40     50     1      1      0      0      1        0      0.0% -0.45     
10M  30     20     40     40     20     20     0      0      1      1      1        1      100.0% 0.05      
10M  30     20     40     60     40     30     1      1      0      0      1        1      100.0% 0.26      
10M  30     20     50     30     20     30     0      0      -1     -1     1        0      0.0% -0.25     
10M  30     20     70     50     40     30     0      1      0      0      1        1      100.0% 0.12      
10M  30     30     30     10     20     10     -1     0      1      1      1        0      0.0% -0.40     
10M  30     30     50     30     10     30     -1     1      0      0      1        1      100.0% 0.01      
10M  30     40     90     40     40     30     1      1      0      0      1        0      0.0% -0.64     
10M  30     50     80     10     10     10     -1     0      -1     -1     1        1      100.0% 0.05      
10M  30     90     90     50     70     30     1      1      0      0      1        1      100.0% 0.08      
10M  40     20     10     100    70     60     0      -1     0      0      1        1      100.0% 0.41      
10M  40     20     10     100    70     70     0      1      -1     -1     1        0      0.0% -0.40     
10M  40     20     20     70     40     30     0      1      0      0      1        1      100.0% 0.14      
10M  40     20     20     70     70     40     0      1      0      0      1        0      0.0% -0.73     
10M  40     20     30     50     90     80     -1     0      -1     -1     1        1      100.0% 0.09      
10M  40     20     30     60     50     70     0      0      1      1      1        0      0.0% -0.63     
10M  40     20     30     60     70     50     0      1      0      0      1        1      100.0% 0.06      
10M  40     20     40     50     10     20     -1     0      -1     -1     1        1      100.0% 0.03      
10M  40     20     40     50     30     50     -1     0      -1     -1     1        0      0.0% -0.31     
10M  40     20     80     70     50     50     -1     -1     1      1      1        1      100.0% 0.04      
10M  40     20     90     50     70     40     1      1      0      0      1        1      100.0% 0.04      
